2017;1503;1751;1222;1449;1041;1202;1056;914;862;738;675;646;593;701;744;1487;1199;1329;1114;1503;1399;1581;1358;1574;1411;1273;1143;856;970;507;550
17566;13861;16464;14818;17169;14177;17299;13780;17223;14185;17541;14172;17967;14000;17826;14225;17983;14754;18953;15156;18726;15357;18458;15265;17845;14262;17709;14363;17406;14015;17850;13954
2930;2509;1945;1781;1889;1701;1591;1679;1489;1528;946;1121;812;1026;929;1072;2288;1966;1888;1835;1848;1866;2008;1957;1967;2042;1745;1862;1451;1442;1110;1247
13639;10711;12824;11732;13419;10709;12840;10816;13411;11094;13621;11179;13978;11030;13922;11268;13988;11607;14638;12038;14378;11889;14159;11777;13666;11073;13514;10936;13418;10698;13734;10719
1936;1556;1585;1239;1414;1028;1106;1020;1006;995;641;736;528;507;682;673;1542;1414;1238;1098;1151;1061;1215;1035;1217;978;1109;912;772;701;657;535
34931;30136;34242;31088;35143;28564;32905;29918;36260;30050;36692;29671;37657;29170;37600;29834;37749;30932;38498;30798;37761;30687;37650;31143;36111;29836;36282;30543;35936;29859;37233;30145
4393;3880;4240;3663;3553;3321;2290;2544;2022;2051;1323;1411;1042;1222;1132;1180;2348;1938;2171;2088;2362;2642;2574;2626;2093;2348;1992;2311;1707;1931;1027;1335
10562;8744;10453;9525;11321;9258;11515;8787;10374;8716;10194;8369;10149;8612;10046;8467;9932;8539;10058;8460;10182;8482;10308;8280;10758;8292;10787;8258;10677;8523;10529;8599
2170;1259;2109;1116;1900;968;1156;791;999;737;652;504;514;425;563;412;1131;663;1003;726;1094;778;1378;903;1293;915;1133;817;872;688;657;508
15833;13524;16373;14982;15513;13506;15847;13671;16893;13746;17022;13327;17176;13920;16968;13535;17150;13947;17516;13984;17397;13930;17614;13544;17219;13718;17241;13898;17182;14287;17019;14298
1226;1043;1095;788;1047;813;867;748;599;670;430;565;311;531;456;547;1640;1123;1081;1037;1148;1138;1416;1505;1328;1477;1197;1269;936;1008;734;791
7742;6484;7783;6934;7594;6855;8405;6276;7675;6231;7773;5999;7859;6181;7693;6048;7819;6139;7975;6276;8034;6269;8005;5984;7658;5963;7626;5918;7600;6134;7556;6194
1240;1009;819;749;680;630;575;549;454;422;332;313;313;266;310;276;1007;766;706;543;619;547;678;522;639;544;580;468;457;393;318;304
16554;15232;16774;14923;16516;14672;16532;14077;17746;14031;17648;13381;17744;13591;17482;13285;17715;13654;17892;13756;17917;13595;18056;13200;18205;14058;17867;13770;17853;14240;17727;14301
2256;1893;2294;1792;1994;1536;1489;1513;960;874;763;706;618;600;723;703;1783;1234;1338;1077;1345;1172;1465;1284;1409;1340;1253;1181;1012;1017;715;806
13490;11074;12995;11878;14223;11675;14469;10966;12779;10999;12758;10727;12666;10994;12468;10763;12309;10798;12562;10876;12751;10907;12986;10591;13059;9978;13130;9990;12946;10164;12782;10155
2838;1668;2481;1462;2021;1180;1757;1216;1423;1236;1014;944;827;797;890;832;1634;1311;1610;1266;1703;1337;1789;1533;1641;1432;1401;1233;1115;1057;759;740
18032;15557;17165;15545;17600;15393;17981;14081;17418;13998;17431;13329;17558;13770;17059;13519;17423;13629;17993;13835;18256;13909;18481;13668;18207;14047;18002;13944;17805;14283;17584;14290
2753;2286;2601;2092;2214;1996;1402;1392;1321;1340;864;1071;757;917;930;1087;2440;1767;2165;1809;2184;1873;2164;1898;1980;1739;1760;1605;1305;1283;993;1053
36952;33130;36727;34062;37847;32112;37539;31348;37243;31517;37556;30945;37969;31990;37039;31537;37617;31860;37534;31790;38250;32443;39183;31647;38801;30180;38826;30020;38700;31007;38121;31186
5798;4051;5180;3694;4367;3152;3220;3262;2971;3150;2267;2645;2022;2439;1990;2355;3915;3836;4019;4334;4552;4550;4614;4575;4813;4773;4133;4455;3369;3859;2582;3053
12370;10296;12471;10941;11927;10450;12427;9944;12804;10056;12846;9597;12961;9943;12808;9685;12972;9991;13014;9967;13012;9970;13145;9705;12977;9866;12731;9741;12770;10007;12694;10086
1633;1080;1351;873;1131;856;864;669;614;537;456;405;454;424;480;402;1156;777;901;825;871;795;899;1000;950;924;772;835;625;670;488;521
27852;24651;29614;27362;28220;23901;29373;25756;30361;26076;30770;25321;31028;26155;30857;25649;31142;26479;31049;26286;31419;26500;31996;25870;31267;24790;31288;24855;31221;25675;30930;25787
2276;1387;1815;1141;1708;1281;1439;1288;1018;979;710;665;602;682;776;852;2227;1878;2174;1981;2180;2289;2630;2652;2419;2506;2232;2158;1730;1809;1232;1295
30715;24956;29197;25937;29370;24162;29144;23063;28093;22232;26281;21274;27151;21311;27679;21638;29230;22465;29341;22434;29579;22887;30343;23860;29807;23932;30139;24547;29436;25081;29511;24888
7851;6962;7503;6770;6209;5253;3790;3369;2636;2241;2046;1951;1741;1826;1975;2207;4061;3720;4434;4028;4560;4635;5213;5167;4717;4787;4085;4381;3355;3874;2189;2766
31885;28378;30969;28212;32345;25305;30193;25888;31059;26015;29474;25626;30267;25601;30684;25837;32134;26351;31482;25604;31042;25366;31722;26203;31543;24970;31123;25086;30462;25624;30545;25119
8490;7129;8344;6981;7244;5932;5319;5339;4498;4432;3668;4067;3019;3532;2958;3561;4149;4404;3984;4322;4310;4716;4384;4708;3673;4128;3344;3911;2728;3290;2122;2680
40667;36001;43062;39869;40815;33027;40164;35862;43756;36413;42375;36814;43829;36703;44770;37128;46977;37629;45735;35909;45006;35769;46250;37345;46094;36731;45492;36835;44696;37932;45104;37500
7628;6085;7070;5822;6212;5132;4825;4422;3557;3443;2289;2328;1559;1611;1759;1781;3568;2951;3249;2894;3700;3572;4358;4311;3945;3906;3525;3592;2796;3255;1986;2322
38877;34536;39704;35959;39444;32925;39439;31911;39316;31597;37501;31132;38643;31025;39442;31425;40959;31388;40436;30711;40244;30806;41303;32302;40288;31797;40166;32196;38869;32564;39184;32040
9677;9100;8892;8621;7658;6805;5725;5715;4219;4521;3228;3669;2243;2725;2389;2893;4724;4468;4478;4398;5075;5337;5276;5856;4108;4895;3480;4372;3176;4080;1979;2977
13868;11811;15078;13015;14026;11873;13571;11723;14785;11643;14418;11791;14887;11832;15268;11895;15928;11965;15411;11423;15171;11389;15524;11941;15007;11927;14791;11820;14390;11984;14621;11797
2986;2788;2910;2863;2293;2247;1698;1895;1559;1859;1148;1493;926;1194;790;1093;1289;1443;1227;1486;1363;1800;1389;1770;1102;1543;977;1294;826;1280;503;912
20304;17385;19894;17816;19166;14869;18108;15553;19509;15938;18923;16298;19598;16536;20027;16823;20979;17111;20722;16547;20575;16436;21024;16873;21758;16387;21422;16463;21057;17107;21158;16862
4268;2560;3721;2180;2950;1805;2416;1843;1939;1652;1409;1322;1207;1164;1290;1295;2349;1964;2360;1741;2421;1877;2701;2151;2561;2174;2196;2003;1699;1816;1310;1391
11697;10246;11404;9895;11626;9122;11951;9108;11418;8841;10715;8621;10899;8402;11133;8407;11596;8571;11463;8457;11150;8265;11463;8543;12031;8793;11854;8784;11617;9055;11656;8881
3235;2468;3141;2606;2582;2139;1701;1622;1132;1121;698;793;585;571;610;745;1141;1183;1057;996;1125;1112;1340;1313;1208;1213;1027;1122;856;926;520;641
8752;6940;7999;6980;7850;6293;7977;5895;7823;5911;7829;5695;8042;5791;7938;5728;8318;5810;8560;5917;8274;6056;8527;5947;8522;6164;8450;6084;8523;5906;8621;6104
1424;936;1205;895;1262;994;961;1033;777;974;533;645;491;530;587;615;1127;1108;1097;1056;1137;1034;1293;1112;1249;1058;1120;958;906;695;663;627
24867;18198;24762;21562;24850;19744;24819;18083;23222;17988;23361;17622;24008;17799;23938;17506;24801;17831;25234;17778;24386;17785;25099;17945;25563;18617;25827;18802;26202;18490;26731;19300
4497;2938;3908;2976;2974;2345;2013;2604;1527;2425;1119;1822;949;1294;1059;1447;2492;2247;2388;2359;2509;2704;2797;3073;3073;2987;2825;2695;2211;2305;1509;1793
10122;7869;10224;9442;10912;8590;10459;8255;9883;7983;9934;7703;10162;7787;9961;7668;10343;7896;10726;7832;10461;7754;10703;7717;11105;8202;11022;8339;11109;8187;11263;8604
2360;1697;2080;1668;1934;1402;1297;1262;1098;1052;744;830;586;680;714;817;1566;1093;1543;1031;1537;1148;1632;1215;1540;1204;1363;1086;1083;999;925;783
8990;6941;9057;8115;9477;7704;9472;6931;8500;6767;8635;6525;8872;6592;8787;6498;9168;6542;9366;6539;9010;6507;9219;6392;9637;7052;9763;7223;9862;7062;9994;7384
1799;1430;1732;1495;1281;1317;920;1231;734;1108;545;839;506;616;583;649;1107;1002;1029;916;1072;959;1275;1089;1280;1095;1147;939;859;828;660;709
19682;17654;19691;18371;20325;15663;18106;17144;20066;16752;20306;16377;20927;16889;20957;16551;21536;17085;21772;17023;21075;17013;21844;16915;20013;15513;20192;16053;20347;15600;20681;16377
3319;2378;3198;2414;3156;2262;2221;2005;1722;1722;1300;1449;1021;1054;1250;1191;2197;2079;2294;2045;2557;2270;2932;2465;2700;2218;2374;1991;1863;1551;1652;1406
